code,pos,info_length,book,chapter,verse,word_index
N-NSF,Noun,3,MAT,1,1,2
N-GSF,Noun,3,MAT,1,1,5
N-GSM,Noun,3,MAT,1,1,8
N-GSM,Noun,3,MAT,1,1,11
N-GSM,Noun,3,MAT,1,1,14
N-PRI,Noun,3,MAT,1,1,17
N-GSM,Noun,3,MAT,1,1,20
N-PRI,Noun,3,MAT,1,1,23
N-PRI,Noun,3,MAT,1,2,2
V-AAI-3S,Verb,5,MAT,1,2,5
T-ASM,Article,3,MAT,1,2,8
N-PRI,Noun,3,MAT,1,2,11
N-PRI,Noun,3,MAT,1,2,14
CONJ,Conjunction,0,MAT,1,2,17
V-AAI-3S,Verb,5,MAT,1,2,20
T-ASM,Article,3,MAT,1,2,23
N-PRI,Noun,3,MAT,1,2,26
N-PRI,Noun,3,MAT,1,2,29
CONJ,Conjunction,0,MAT,1,2,32
V-AAI-3S,Verb,5,MAT,1,2,35
T-ASM,Article,3,MAT,1,2,38
N-ASM,Noun,3,MAT,1,2,41
CONJ,Conjunction,0,MAT,1,2,44
T-APM,Article,3,MAT,1,2,47
N-APM,Noun,3,MAT,1,2,50
P-GSM,Personal Pronoun,3,MAT,1,2,53
N-NSM,Noun,3,MAT,1,3,2
CONJ,Conjunction,0,MAT,1,3,5
V-AAI-3S,Verb,5,MAT,1,3,8
T-ASM,Article,3,MAT,1,3,11
N-PRI,Noun,3,MAT,1,3,14
CONJ,Conjunction,0,MAT,1,3,17
T-ASM,Article,3,MAT,1,3,20
N-PRI,Noun,3,MAT,1,3,23
PREP,Preposition,0,MAT,1,3,26
T-GSF,Article,3,MAT,1,3,29
N-PRI,Noun,3,MAT,1,3,32
N-PRI,Noun,3,MAT,1,3,35
CONJ,Conjunction,0,MAT,1,3,38
V-AAI-3S,Verb,5,MAT,1,3,41
T-ASM,Article,3,MAT,1,3,44
N-PRI,Noun,3,MAT,1,3,47
N-PRI,Noun,3,MAT,1,3,50
CONJ,Conjunction,0,MAT,1,3,53
V-AAI-3S,Verb,5,MAT,1,3,56
T-ASM,Article,3,MAT,1,3,59
N-PRI,Noun,3,MAT,1,3,62
N-PRI,Noun,3,MAT,1,4,2
CONJ,Conjunction,0,MAT,1,4,5
V-AAI-3S,Verb,5,MAT,1,4,8
T-ASM,Article,3,MAT,1,4,11
N-PRI,Noun,3,MAT,1,4,14
N-PRI,Noun,3,MAT,1,4,17
CONJ,Conjunction,0,MAT,1,4,20
V-AAI-3S,Verb,5,MAT,1,4,23
T-ASM,Article,3,MAT,1,4,26
N-PRI,Noun,3,MAT,1,4,29
N-PRI,Noun,3,MAT,1,4,32
CONJ,Conjunction,0,MAT,1,4,35
V-AAI-3S,Verb,5,MAT,1,4,38
T-ASM,Article,3,MAT,1,4,41
N-PRI,Noun,3,MAT,1,4,44
N-PRI,Noun,3,MAT,1,5,2
CONJ,Conjunction,0,MAT,1,5,5
V-AAI-3S,Verb,5,MAT,1,5,8
T-ASM,Article,3,MAT,1,5,11
N-PRI,Noun,3,MAT,1,5,14
PREP,Preposition,0,MAT,1,5,17
T-GSF,Article,3,MAT,1,5,20
N-PRI,Noun,3,MAT,1,5,23
N-PRI,Noun,3,MAT,1,5,26
CONJ,Conjunction,0,MAT,1,5,29
V-AAI-3S,Verb,5,MAT,1,5,32
T-ASM,Article,3,MAT,1,5,35
N-PRI,Noun,3,MAT,1,5,38
PREP,Preposition,0,MAT,1,5,41
T-GSF,Article,3,MAT,1,5,44
N-PRI,Noun,3,MAT,1,5,47
N-PRI,Noun,3,MAT,1,5,50
CONJ,Conjunction,0,MAT,1,5,53
V-AAI-3S,Verb,5,MAT,1,5,56
T-ASM,Article,3,MAT,1,5,59
N-PRI,Noun,3,MAT,1,5,62
N-PRI,Noun,3,MAT,1,6,2
CONJ,Conjunction,0,MAT,1,6,5
V-AAI-3S,Verb,5,MAT,1,6,8
T-ASM,Article,3,MAT,1,6,11
N-PRI,Noun,3,MAT,1,6,14
T-ASM,Article,3,MAT,1,6,17
N-ASM,Noun,3,MAT,1,6,20
N-PRI,Noun,3,MAT,1,6,23
CONJ,Conjunction,0,MAT,1,6,26
T-NSM,Article,3,MAT,1,6,29
N-NSM,Noun,3,MAT,1,6,32
V-AAI-3S,Verb,5,MAT,1,6,35
T-ASM,Article,3,MAT,1,6,38
N-ASM,Noun,3,MAT,1,6,41
PREP,Preposition,0,MAT,1,6,44
T-GSF,Article,3,MAT,1,6,47
T-GSM,Article,3,MAT,1,6,50
N-GSM,Noun,3,MAT,1,6,53
N-NSM,Noun,3,MAT,1,7,2
CONJ,Conjunction,0,MAT,1,7,5
V-AAI-3S,Verb,5,MAT,1,7,8
T-ASM,Article,3,MAT,1,7,11
N-PRI,Noun,3,MAT,1,7,14
N-PRI,Noun,3,MAT,1,7,17
CONJ,Conjunction,0,MAT,1,7,20
V-AAI-3S,Verb,5,MAT,1,7,23
T-ASM,Article,3,MAT,1,7,26
N-PRI,Noun,3,MAT,1,7,29
N-PRI,Noun,3,MAT,1,7,32
CONJ,Conjunction,0,MAT,1,7,35
V-AAI-3S,Verb,5,MAT,1,7,38
T-ASM,Article,3,MAT,1,7,41
N-PRI,Noun,3,MAT,1,7,44
N-PRI,Noun,3,MAT,1,8,2
CONJ,Conjunction,0,MAT,1,8,5
V-AAI-3S,Verb,5,MAT,1,8,8
T-ASM,Article,3,MAT,1,8,11
N-PRI,Noun,3,MAT,1,8,14
N-PRI,Noun,3,MAT,1,8,17
CONJ,Conjunction,0,MAT,1,8,20
V-AAI-3S,Verb,5,MAT,1,8,23
T-ASM,Article,3,MAT,1,8,26
N-PRI,Noun,3,MAT,1,8,29
N-PRI,Noun,3,MAT,1,8,32
CONJ,Conjunction,0,MAT,1,8,35
V-AAI-3S,Verb,5,MAT,1,8,38
