book,chapter,verse,word_index,word,count
MAT,1,1,0,βιβλος,1
MAT,1,1,1,γενεσεως,3
MAT,1,1,2,ιησου,339
MAT,1,1,3,χριστου,265
MAT,1,1,4,υιου,37
MAT,1,1,5,δαυιδ,59
MAT,1,1,6,υιου,37
MAT,1,1,7,αβρααμ,73
MAT,1,2,0,αβρααμ,73
MAT,1,2,1,εγεννησεν,42
MAT,1,2,2,τον,1611
MAT,1,2,3,ισαακ,20
MAT,1,2,4,ισαακ,20
MAT,1,2,5,δε,2841
MAT,1,2,6,εγεννησεν,42
MAT,1,2,7,τον,1611
MAT,1,2,8,ιακωβ,27
MAT,1,2,9,ιακωβ,27
MAT,1,2,10,δε,2841
MAT,1,2,11,εγεννησεν,42
MAT,1,2,12,τον,1611
MAT,1,2,13,ιουδαν,8
MAT,1,2,14,και,9217
MAT,1,2,15,τους,734
MAT,1,2,16,αδελφους,38
MAT,1,2,17,αυτου,1478
MAT,1,3,0,ιουδας,21
MAT,1,3,1,δε,2841
MAT,1,3,2,εγεννησεν,42
MAT,1,3,3,τον,1611
MAT,1,3,4,φαρες,3
MAT,1,3,5,και,9217
MAT,1,3,6,τον,1611
MAT,1,3,7,ζαρα,1
MAT,1,3,8,εκ,670
MAT,1,3,9,της,1327
MAT,1,3,10,θαμαρ,1
MAT,1,3,11,φαρες,3
MAT,1,3,12,δε,2841
MAT,1,3,13,εγεννησεν,42
MAT,1,3,14,τον,1611
MAT,1,3,15,εσρωμ,3
MAT,1,3,16,εσρωμ,3
MAT,1,3,17,δε,2841
MAT,1,3,18,εγεννησεν,42
MAT,1,3,19,τον,1611
MAT,1,3,20,αραμ,3
MAT,1,4,0,αραμ,3
MAT,1,4,1,δε,2841
MAT,1,4,2,εγεννησεν,42
MAT,1,4,3,τον,1611
MAT,1,4,4,αμιναδαβ,3
MAT,1,4,5,αμιναδαβ,3
MAT,1,4,6,δε,2841
MAT,1,4,7,εγεννησεν,42
MAT,1,4,8,τον,1611
MAT,1,4,9,ναασσων,3
MAT,1,4,10,ναασσων,3
MAT,1,4,11,δε,2841
MAT,1,4,12,εγεννησεν,42
MAT,1,4,13,τον,1611
MAT,1,4,14,σαλμων,3
MAT,1,5,0,σαλμων,3
MAT,1,5,1,δε,2841
MAT,1,5,2,εγεννησεν,42
MAT,1,5,3,τον,1611
MAT,1,5,4,βοοζ,3
MAT,1,5,5,εκ,670
MAT,1,5,6,της,1327
MAT,1,5,7,ραχαβ,1
MAT,1,5,8,βοοζ,3
MAT,1,5,9,δε,2841
MAT,1,5,10,εγεννησεν,42
MAT,1,5,11,τον,1611
MAT,1,5,12,ωβηδ,3
MAT,1,5,13,εκ,670
MAT,1,5,14,της,1327
MAT,1,5,15,ρουθ,1
MAT,1,5,16,ωβηδ,3
MAT,1,5,17,δε,2841
MAT,1,5,18,εγεννησεν,42
MAT,1,5,19,τον,1611
MAT,1,5,20,ιεσσαι,5
MAT,1,6,0,ιεσσαι,5
MAT,1,6,1,δε,2841
MAT,1,6,2,εγεννησεν,42
MAT,1,6,3,τον,1611
MAT,1,6,4,δαυιδ,59
MAT,1,6,5,τον,1611
MAT,1,6,6,βασιλεα,15
MAT,1,6,7,δαυιδ,59
MAT,1,6,8,δε,2841
MAT,1,6,9,ο,3308
MAT,1,6,10,βασιλευς,51
MAT,1,6,11,εγεννησεν,42
MAT,1,6,12,τον,1611
MAT,1,6,13,σολομωνα,1
MAT,1,6,14,εκ,670
MAT,1,6,15,της,1327
MAT,1,6,16,του,2587
MAT,1,6,17,ουριου,1
MAT,1,7,0,σολομων,4
MAT,1,7,1,δε,2841
MAT,1,7,2,εγεννησεν,42
MAT,1,7,3,τον,1611
MAT,1,7,4,ροβοαμ,2
MAT,1,7,5,ροβοαμ,2
MAT,1,7,6,δε,2841
MAT,1,7,7,εγεννησεν,42
MAT,1,7,8,τον,1611
MAT,1,7,9,αβια,3
MAT,1,7,10,αβια,3
MAT,1,7,11,δε,2841
MAT,1,7,12,εγεννησεν,42
MAT,1,7,13,τον,1611
MAT,1,7,14,ασα,2
MAT,1,8,0,ασα,2
MAT,1,8,1,δε,2841
MAT,1,8,2,εγεννησεν,42
MAT,1,8,3,τον,1611
MAT,1,8,4,ιωσαφατ,2
MAT,1,8,5,ιωσαφατ,2
MAT,1,8,6,δε,2841
MAT,1,8,7,εγεννησεν,42
MAT,1,8,8,τον,1611
MAT,1,8,9,ιωραμ,2
MAT,1,8,10,ιωραμ,2
MAT,1,8,11,δε,2841
MAT,1,8,12,εγεννησεν,42
MAT,1,8,13,τον,1611
MAT,1,8,14,οζιαν,1
MAT,1,9,0,οζιας,1
MAT,1,9,1,δε,2841
MAT,1,9,2,εγεννησεν,42
MAT,1,9,3,τον,1611
MAT,1,9,4,ιωαθαμ,2
MAT,1,9,5,ιωαθαμ,2
MAT,1,9,6,δε,2841
MAT,1,9,7,εγεννησεν,42
MAT,1,9,8,τον,1611
MAT,1,9,9,αχαζ,2
MAT,1,9,10,αχαζ,2
MAT,1,9,11,δε,2841
MAT,1,9,12,εγεννησεν,42
MAT,1,9,13,τον,1611
MAT,1,9,14,εζεκιαν,1
MAT,1,10,0,εζεκιας,1
MAT,1,10,1,δε,2841
MAT,1,10,2,εγεννησεν,42
MAT,1,10,3,τον,1611
MAT,1,10,4,μανασση,2
MAT,1,10,5,μανασσης,1
MAT,1,10,6,δε,2841
MAT,1,10,7,εγεννησεν,42
MAT,1,10,8,τον,1611
MAT,1,10,9,αμων,2
MAT,1,10,10,αμων,2
MAT,1,10,11,δε,2841
MAT,1,10,12,εγεννησεν,42
MAT,1,10,13,τον,1611
MAT,1,10,14,ιωσιαν,1
MAT,1,11,0,ιωσιας,1
MAT,1,11,1,δε,2841
MAT,1,11,2,εγεννησεν,42
MAT,1,11,3,τον,1611
MAT,1,11,4,ιεχονιαν,1
MAT,1,11,5,και,9217
MAT,1,11,6,τους,734
MAT,1,11,7,αδελφους,38
MAT,1,11,8,αυτου,1478
MAT,1,11,9,επι,676
MAT,1,11,10,της,1327
MAT,1,11,11,μετοικεσιας,3
MAT,1,11,12,βαβυλωνος,5
MAT,1,12,0,μετα,294
MAT,1,12,1,δε,2841
MAT,1,12,2,την,1554
MAT,1,12,3,μετοικεσιαν,1
MAT,1,12,4,βαβυλωνος,5
MAT,1,12,5,ιεχονιας,1
MAT,1,12,6,εγεννησεν,42
MAT,1,12,7,τον,1611
MAT,1,12,8,σαλαθιηλ,3
MAT,1,12,9,σαλαθιηλ,3
MAT,1,12,10,δε,2841
MAT,1,12,11,εγεννησεν,42
MAT,1,12,12,τον,1611
MAT,1,12,13,ζοροβαβελ,3
MAT,1,13,0,ζοροβαβελ,3
MAT,1,13,1,δε,2841
MAT,1,13,2,εγεννησεν,42
MAT,1,13,3,τον,1611
MAT,1,13,4,αβιουδ,2
MAT,1,13,5,αβιουδ,2
MAT,1,13,6,δε,2841
MAT,1,13,7,εγεννησεν,42
MAT,1,13,8,τον,1611
MAT,1,13,9,ελιακειμ,3
MAT,1,13,10,ελιακειμ,3
MAT,1,13,11,δε,2841
MAT,1,13,12,εγεννησεν,42
MAT,1,13,13,τον,1611
MAT,1,13,14,αζωρ,2
MAT,1,14,0,αζωρ,2
MAT,1,14,1,δε,2841
MAT,1,14,2,εγεννησεν,42
MAT,1,14,3,τον,1611
MAT,1,14,4,σαδωκ,2
MAT,1,14,5,σαδωκ,2
MAT,1,14,6,δε,2841
MAT,1,14,7,εγεννησεν,42
MAT,1,14,8,τον,1611
MAT,1,14,9,αχειμ,2
MAT,1,14,10,αχειμ,2
MAT,1,14,11,δε,2841
MAT,1,14,12,εγεννησεν,42
MAT,1,14,13,τον,1611
MAT,1,14,14,ελιουδ,2
MAT,1,15,0,ελιουδ,2
MAT,1,15,1,δε,2841
MAT,1,15,2,εγεννησεν,42
MAT,1,15,3,τον,1611
MAT,1,15,4,ελεαζαρ,2
MAT,1,15,5,ελεαζαρ,2
MAT,1,15,6,δε,2841
MAT,1,15,7,εγεννησεν,42
MAT,1,15,8,τον,1611
MAT,1,15,9,ματθαν,2
MAT,1,15,10,ματθαν,2
MAT,1,15,11,δε,2841
MAT,1,15,12,εγεννησεν,42
MAT,1,15,13,τον,1611
MAT,1,15,14,ιακωβ,27
MAT,1,16,0,ιακωβ,27
MAT,1,16,1,δε,2841
MAT,1,16,2,εγεννησεν,42
MAT,1,16,3,τον,1611
MAT,1,16,4,ιωσηφ,35
MAT,1,16,5,τον,1611
MAT,1,16,6,ανδρα,29
MAT,1,16,7,μαριας,7
MAT,1,16,8,εξ,253
MAT,1,16,9,ης,55
MAT,1,16,10,εγεννηθη,7
MAT,1,16,11,ιησους,502
MAT,1,16,12,ο,3308
MAT,1,16,13,λεγομενος,12
MAT,1,16,14,χριστος,117
MAT,1,17,0,πασαι,15
MAT,1,17,1,ουν,523
MAT,1,17,2,αι,151
MAT,1,17,3,γενεαι,5
MAT,1,17,4,απο,487
MAT,1,17,5,αβρααμ,73
